listing_id,neighborhood
6899452,Columbia University
6907090,Midtown East
6822287,Midtown East
6918128,Hell's Kitchen
6858138,Cooper Union 
6908210,Chelsea
6944085,Baruch College (CUNY)
6865014,Columbia University
6931540,Upper East Side
6864155,Central Park
6876775,Columbia University
6861664,Financial District
6824701,Upper East Side
6893811,Upper West Side
7193261,DUMBO
6937909,Pace University 
6901602,Gramercy Park
6930606,Stuyvesant Town - Peter Cooper Village
6849599,Midwood
7153130,Sunset Park
6895162,Upper West Side
6858024,Upper East Side
6910133,Theater District
6822146,NoMad
6833238,Murray Hill
6827455,Clinton Hill
7171381,Pace University 
6858791,Lower East Side
6823927,Murray Hill
6855206,Greenwich Village
6903826,East Village
6945350,Kips Bay
6904890,Kips Bay
6908847,Upper East Side
6944534,Upper West Side
6902444,Koreatown
7228593,The Waterfront
6812548,Kips Bay
6912781,Weill Cornell Medical College
6931240,Juilliard School 
6947000,Pace University 
6844961,Midtown East
6935502,Battery Park City
6925837,Stuyvesant Town - Peter Cooper Village
6909915,Upper West Side
6812831,Kips Bay
6868650,Upper West Side
6891734,Long Island City
6925811,Bushwick
6932120,Bowery
6847239,Financial District
7120960,Murray Hill
6880824,Central Park
6889991,Upper East Side
6890852,Upper East Side
6851578,Washington Heights
6839190,Garment District
6920989,Clinton Hill
6899246,Midtown East
6876602,Columbia University
6813199,Juilliard School 
6866253,Flatbush
6879298,Gramercy Park
6943593,Theater District
6941339,Prospect Heights
6877936,Theater District
6860098,Park Slope
7134800,NoLita
6919760,Central Harlem
6893051,West Village
6897686,Hell's Kitchen
6898951,NoMad
6905541,Upper East Side
6859023,Windsor Terrace
6906328,Upper East Side
6860123,Theater District
6915828,Central Harlem
6891232,Theater District
6894024,Central Harlem
6837641,Upper East Side
6858262,Upper West Side
6861869,East Harlem
6826214,Fort Greene
6836651,Greenwich Village
6905805,Astoria
6815069,Upper East Side
6888729,Hell's Kitchen
6851174,Upper West Side
7206584,Upper East Side
6898347,Astoria
6858693,Greenwich Village
6877608,Jackson Heights
6882555,Washington Heights
6861263,Greenwich Village
6858022,Upper East Side
6829656,East Village
6872957,Flatiron District
6890888,Corona
7132576,Greenpoint
7158560,Stuyvesant Town - Peter Cooper Village
6904435,Midtown East
6893404,Midtown East
6843855,Little Italy
6820208,Murray Hill
6875471,Upper East Side
6929152,Bowery
6919083,Upper West Side
6932695,Pace University 
6842582,Prospect Heights
7111226,Mott Haven
6921560,Midtown East
6920295,Upper East Side
6913971,Hunter College 
6821744,Juilliard School 
6874221,NYU Tandon School of Engineering 
6912685,Theater District
6829725,Pace University 
6843776,Upper East Side
6912023,Midtown East
6916320,Gramercy Park
6890825,Kips Bay
6883577,Hell's Kitchen
6940273,Upper East Side
6918304,Pace University 
7174416,Hell's Kitchen
6919459,Koreatown
6815148,Washington Heights
6860165,Columbia University
6945704,Theater District
6909329,Midtown East
7205608,Williamsburg
6927091,Greenwich Village
6876991,Upper West Side
6869355,Clinton Hill
6855104,Garment District
7113729,Juilliard School 
6847902,Sunnyside
6822899,Garment District
6947346,Mott Haven
6816525,Murray Hill
7471358,Cooper Union 
6831743,Theater District
6848609,West Village
6946711,Kips Bay
6893068,Hell's Kitchen
7127584,Two Bridges
6939964,Park Slope
6844925,Juilliard School 
6856878,Williamsburg
6874598,Upper East Side
6839398,Juilliard School 
6822645,East Village
6938914,Randalls-Wards Island
7107647,Central Harlem
6877332,Woodside
6858267,New York University (NYU) 
6893222,Theater District
6885465,Fashion Institute of Technology (FIT) 
7221513,John Jay College of Criminal Justice 
6934243,John Jay College of Criminal Justice 
6842868,Financial District
6815144,NoHo
6814331,NoLita
7203554,Midtown East
6948152,NoMad
6911398,Weill Cornell Medical College
6861074,John Jay College of Criminal Justice 
6876221,Flatiron District
6913597,NoHo
6889276,West Village
6855891,Bushwick
6869303,University Heights
6911357,East Harlem
6870397,Morris Heights
6939391,Weill Cornell Medical College
6859150,Hell's Kitchen
6851544,Sunnyside
6813023,NYU Tandon School of Engineering 
6867693,Theater District
6856105,Stuyvesant Town - Peter Cooper Village
6944002,Corona
6935188,Columbia University
6839675,Garment District
6944661,East Harlem
6837078,Columbia University
6906479,West Village
6942482,Weill Cornell Medical College
6819306,Greenwich Village
6913510,Upper East Side
6866267,Upper West Side
6908846,Baruch College (CUNY)
6898949,Midtown East
6905253,Financial District
6835051,Marble Hill
6871631,Central Harlem
6829004,Upper East Side
6884221,Park Slope
6871672,Financial District
6905296,NoMad
6855165,Murray Hill
6842827,Lower East Side
6907132,Financial District
6916552,Greenwich Village
6879257,Gramercy Park
6818561,Upper East Side
7181422,Astoria
6842179,Hell's Kitchen
7233989,Columbia University
6889021,Midtown East
7215344,Upper East Side
6883273,Financial District
6852703,SoHo
6926583,NoLita
6915800,Central Harlem
6831467,Williamsburg
6821452,Columbia University
6883437,Williamsburg
6933890,Financial District
6934577,Upper West Side
6867668,Upper East Side
6947775,Stuyvesant Town - Peter Cooper Village
6930654,Columbia University
6883606,Kips Bay
6864846,Hunter College 
6919587,Kips Bay
6833014,Murray Hill
6881215,East Village
6912936,East Village
6899009,Hunter College 
6868106,Garment District
7152345,Flatbush
7128756,Hunter College 
6948199,Murray Hill
6863735,Chelsea
6882915,Juilliard School 
6944605,Greenwich Village
6841107,Juilliard School 
6901910,John Jay College of Criminal Justice 
6920508,Pace University 
6847735,Hell's Kitchen
6825563,Cooper Union 
6898733,Kips Bay
6929970,Columbia University
6932844,John Jay College of Criminal Justice 
6921047,Clinton Hill
6859304,Upper East Side
6822568,Crown Heights
6942565,Garment District
6938531,East Village
6940656,Williamsburg
6940346,Hell's Kitchen
6946188,Midtown East
6846621,Stuyvesant Town - Peter Cooper Village
6941049,Financial District
6891065,The New School 
6925476,Theater District
6826600,Financial District
7203769,Washington Heights
6915739,Washington Heights
6891018,John Jay College of Criminal Justice 
6823888,Greenwich Village
6864205,Battery Park City
6918418,Murray Hill
6931405,Downtown Brooklyn
6891659,Chelsea
6847176,Murray Hill
6919461,Gramercy Park
6920256,Chinatown
7128909,Upper East Side
6912967,Central Park
6940633,Upper East Side
6826714,Pace University 
6901980,Long Island City
6935960,Columbia University
7146381,West Harlem
6879782,Upper East Side
6861041,Midtown East
6863617,Midtown East
6821958,Gramercy Park
6893488,Central Harlem
6857707,Upper East Side
6830576,Weill Cornell Medical College
6838698,Park Slope
6889078,Garment District
6853168,Greenpoint
6816665,Garment District
6827297,Bedford-Stuyvesant
6918988,Hell's Kitchen
6930674,Gramercy Park
6882782,Central Harlem
6898722,Upper West Side
6875649,West Harlem
6898448,Upper East Side
6830585,Financial District
6830996,Hell's Kitchen
6821866,West Harlem
6849984,Upper East Side
6860853,Hunter College 
6903318,Bedford-Stuyvesant
6819855,Pelham Bay
6890545,Upper East Side
6851114,East Harlem
6859431,Kips Bay
6851964,Murray Hill
6881565,Upper East Side
6918256,East Village
6887897,Columbia University
6865163,Gramercy Park
7172941,Ocean Hill
6858424,Midtown East
6821552,Ocean Hill
6943092,Chelsea
7127433,NoLita
7095129,Murray Hill
6875692,Central Harlem
6842651,Upper West Side
6891417,Columbia University
6844802,Upper East Side
7132994,Pratt Institute 
6945746,Upper East Side
6845522,The New School 
6902166,Midtown East
6835573,Flatlands
6841133,Kips Bay
6886182,Garment District
6826434,Ocean Hill
6840217,Theater District
6906575,Hell's Kitchen
6887263,West Harlem
6848897,Kew Gardens
6886787,Pace University 
6868527,Upper East Side
7123155,Astoria
6839714,Hunter College 
6845238,Garment District
6931604,Pace University 
7056188,Greenwich Village
6844221,East Village
7166042,Upper West Side
6837517,Stuyvesant Town - Peter Cooper Village
6881356,Hell's Kitchen
6815012,Murray Hill
6869500,NoLita
6843529,NYU Tandon School of Engineering 
6895790,Columbia University
6853837,Juilliard School 
6918830,Financial District
6847795,Theater District
6944094,Upper West Side
6936495,Hell's Kitchen
6832401,Fordham Manor
6814785,Bushwick
6832956,East Village
6845553,Murray Hill
6833760,Cooper Union 
6859925,Garment District
6871165,Little Italy
6902138,Flatbush
7135326,Washington Heights
6814881,Garment District
6893149,Brooklyn Navy Yard
6937242,Financial District
6846253,Juilliard School 
6874285,Columbia University
6851288,Upper East Side
6895470,Hell's Kitchen
6862415,Financial District
7150349,Upper West Side
6848528,Rego Park
6863644,Upper East Side
6902029,Financial District
6842058,Weill Cornell Medical College
6917169,Hell's Kitchen
6868246,Upper East Side
6815977,Financial District
6838060,Upper East Side
6820740,Stuyvesant Town - Peter Cooper Village
6816785,Upper East Side
6847063,Hell's Kitchen
6941324,Prospect Heights
6862542,West Village
6862948,East Village
6926640,Financial District
6830905,New York University (NYU) 
6910278,The New School 
6906607,Columbia University
6878371,Upper West Side
6920455,Kips Bay
6819246,Upper East Side
6841218,Theater District
6913221,Upper East Side
6882156,Kips Bay
6824146,NoLita
6875322,Upper West Side
6860183,Financial District
7092611,Murray Hill
6929729,East Harlem
6838154,Theater District
6911812,Murray Hill
7109631,Kips Bay
6913669,Greenwich Village
6836785,Murray Hill
6873603,Flatiron District
6887679,Upper East Side
6865962,East Village
7226056,Hunter College 
6860585,Baruch College (CUNY)
6849771,Murray Hill
6860171,Boerum Hill
6825162,East Village
7129774,Juilliard School 
6841114,Park Slope
6878759,Flushing
6943899,Washington Heights
6897909,Central Harlem
6925088,East Village
6921218,Downtown Brooklyn
6892122,Fashion Institute of Technology (FIT) 
6825332,Bowery
6846032,Crown Heights
6917633,Hunter College 
6835863,Upper West Side
6826309,Roosevelt Island
6911894,Kips Bay
6892743,Columbia University
7232746,Ridgewood
7742631,Financial District
7182317,Upper East Side
6930429,New York University (NYU) 
6887523,Cooper Union 
6839796,Garment District
6948401,Pace University 
6904679,West Village
7232627,Murray Hill
6817202,Williamsburg
6836210,Gramercy Park
6818618,Flatiron District
6814162,Fashion Institute of Technology (FIT) 
6864980,Upper East Side
6855480,Murray Hill
6823845,New York University (NYU) 
7128045,Little Italy
6826475,Bowery
7222201,Greenwich Village
6820326,Ridgewood
6851165,Stuyvesant Town - Peter Cooper Village
6881819,Upper East Side
6939704,Upper East Side
6849151,Murray Hill
7124104,Financial District
7176059,East Harlem
6864765,Upper East Side
6851532,New York University (NYU) 
6839525,Woodside
7228345,Inwood
6910484,Bowery
6927905,Hunter College 
6891652,Chelsea
6910673,East Harlem
6864837,Upper East Side
6913288,Hell's Kitchen
6865192,Upper East Side
7150096,Stuyvesant Town - Peter Cooper Village
6863935,Chelsea
6842869,Theater District
6846674,Kips Bay
6832372,Koreatown
6920348,Garment District
7157355,Columbia University
6938470,Kingsbridge
6846449,East Village
6832557,Hell's Kitchen
6912847,Hunter College 
6833354,SoHo
6867330,Gramercy Park
6842206,Hell's Kitchen
6938445,Theater District
7091162,Midtown East
6922749,Upper East Side
6920062,Central Park
6840735,Rego Park
6822384,Battery Park City
6861218,Hell's Kitchen
6920690,Theater District
6852821,Midtown East
6876515,East Village
6842398,Midtown East
6874980,Other
6942042,Rego Park
6926332,Upper West Side
7096061,Upper West Side
6895718,East Village
6883925,Park Slope
6882502,Central Harlem
6941348,Chelsea
6883073,Financial District
6925010,Garment District
6882248,Kips Bay
6856669,East Village
6907259,Stuyvesant Town - Peter Cooper Village
6903521,Garment District
6855788,Financial District
6916374,Hell's Kitchen
6939489,Upper East Side
6925780,Upper East Side
7117474,Roosevelt Island
6855747,Long Island City
6864772,Battery Park City
6851586,Hell's Kitchen
6825604,Financial District
7208772,East Village
6909227,Upper East Side
6940852,Upper East Side
6939685,Columbia University
6842623,Bushwick
7099995,Garment District
6931494,Theater District
6905835,Greenpoint
6896530,Koreatown
6823765,Kips Bay
6849844,Hell's Kitchen
6844930,Upper East Side
6906470,Stuyvesant Town - Peter Cooper Village
6918331,Chelsea
6894332,Hell's Kitchen
6869265,Greenwich Village
6814363,East Village
6854394,Columbia University
6907230,Midtown East
7093331,Murray Hill
6840313,Theater District
6873590,Hunter College 
6904891,Tribeca
7152668,Flatbush
6814951,New York University (NYU) 
7185366,Financial District
6945741,West Village
6813607,Baruch College (CUNY)
6867396,East Harlem
6948151,Upper East Side
6822756,Long Island City
7099407,Garment District
6899455,Upper West Side
6925683,Baruch College (CUNY)
6820033,Clinton Hill
6877317,Upper East Side
6873355,Theater District
6837089,Lower East Side
6891893,Astoria
6816465,Weill Cornell Medical College
6910423,Cooper Union 
6889741,Upper West Side
6850839,Midtown East
6893520,John Jay College of Criminal Justice 
6917120,East Harlem
6852357,Kips Bay
6917681,Koreatown
6864374,Prospect Heights
6875134,Upper East Side
6908040,Upper East Side
6906466,Clinton Hill
7179868,Astoria
6829776,Hell's Kitchen
6925230,East Village
6888802,East Harlem
6859257,Upper East Side
6921931,Upper East Side
6866673,Upper West Side
6883514,Rego Park
6884234,East Village
6820261,Juilliard School 
6813298,Theater District
6829285,East Village
6827393,Midtown East
6851441,Upper East Side
7118945,Pace University 
6930907,Juilliard School 
6915801,Bath Beach
6826504,Upper West Side
6920609,Morris Heights
6905691,Bushwick
6855130,East Harlem
6853046,Bushwick
6856621,Financial District
6827302,Murray Hill
6901273,Pace University 
6866671,Upper West Side
7158400,Washington Heights
6816207,Upper East Side
6834707,Financial District
6878396,Long Island City
6857537,Flatbush
6823459,Greenpoint
6943685,Garment District
6815715,Hell's Kitchen
6825212,Gramercy Park
6896813,Financial District
6851301,Central Harlem
6863669,Hunter College 
7199734,Pace University 
6855238,West Village
6849856,Financial District
6866594,Astoria
6874406,New York University (NYU) 
6838696,Upper East Side
6861770,NoMad
6942579,Hell's Kitchen
6839157,Weill Cornell Medical College
6876669,Fordham Manor
6927179,Hell's Kitchen
6909918,Prospect Heights
6856076,Murray Hill
6859234,West Harlem
6836925,Financial District
6824009,Upper West Side
6918605,Ridgewood
6941463,Financial District
6820440,Greenwich Village
6888838,Tribeca
6909302,East Harlem
6900356,East Village
7182271,East Village
6946199,Columbia University
6859066,The New School 
6817718,NoMad
6836674,Gramercy Park
6840710,Financial District
6831931,Gramercy Park
7146106,Hell's Kitchen
6822605,Upper East Side
6829173,Pace University 
6927350,Hell's Kitchen
7108463,Midtown East
6932572,Stuyvesant Town - Peter Cooper Village
6838881,Bowery
6904514,Financial District
6897346,NoLita
6825298,Midtown East
6850394,SoHo
6873901,Columbia University
6830734,East Harlem
6894912,Washington Heights
6856421,Upper East Side
6865813,Marble Hill
6886192,Midtown East
6879483,Cooper Union 
6860609,Battery Park City
6818549,Midtown East
6829423,West Village
6846067,Hunter College 
6817926,Upper West Side
6938977,Borough Park
6939998,Cobble Hill
6891121,Greenwich Village
6921970,Financial District
6863848,Gowanus
6841246,Kensington
6921569,Upper West Side
6890934,The Waterfront
6931310,Jamaica Hills
6900235,Kensington
6941385,Central Harlem
6872787,Crown Heights
6867573,Woodside
6925910,Chelsea
6843943,Weill Cornell Medical College
6942867,Upper East Side
6859205,West Village
6859714,Financial District
6849714,Midtown East
6869426,Washington Heights
6858909,Garment District
6933163,Upper West Side
6930215,Upper East Side
7204899,Hell's Kitchen
7162304,Juilliard School 
6939030,Financial District
6939285,Upper East Side
6871696,Upper East Side
6881916,Brooklyn Heights
6874390,West Village
6907652,Sunnyside
6833382,Garment District
6841965,Theater District
6868969,Upper West Side
6919616,Hell's Kitchen
6867883,Theater District
6843101,NoHo
6821424,Columbia University
6886110,Little Italy
7163872,Stuyvesant Town - Peter Cooper Village
6861561,Murray Hill
6833236,Ridgewood
6841639,East Village
6942690,Financial District
6896228,Rego Park
6906719,John Jay College of Criminal Justice 
7121446,Garment District
6930152,Upper East Side
6948226,Juilliard School 
6838639,Stuyvesant Town - Peter Cooper Village
6833816,Lower East Side
7209424,Juilliard School 
6857304,Garment District
7138891,Juilliard School 
7138023,SoHo
6858085,Upper East Side
6854497,Stuyvesant Town - Peter Cooper Village
6860505,Cooper Union 
6925365,New York University (NYU) 
6859967,Upper West Side
6924960,John Jay College of Criminal Justice 
6933329,East Village
7119944,Gramercy Park
6816960,The New School 
6946312,Greenpoint
6849766,Financial District
6900489,Juilliard School 
6901995,East Village
6924901,Hell's Kitchen
6922766,Theater District
6833393,Upper West Side
6929067,Cooper Union 
6883676,Hell's Kitchen
6919911,East Village
6848283,Murray Hill
7174655,Upper West Side
6938009,Cobble Hill
6945303,Hell's Kitchen
6849694,Kips Bay
6868101,West Harlem
6892899,New York University (NYU) 
6924947,Cooper Union 
6946994,Financial District
7183202,Pace University 
6878177,Weill Cornell Medical College
6875767,DUMBO
6919164,Washington Heights
6845887,Sunnyside
6935758,Upper East Side
6818535,West Village
7162079,Hell's Kitchen
6909236,Midtown East
6874957,Murray Hill
6925084,Hell's Kitchen
7136186,Upper East Side
6869800,Murray Hill
6848431,Upper East Side
6948036,Juilliard School 
6833571,Long Island City
6892591,Pace University 
6936720,East Village
7389395,NoLita
6941477,Midtown East
6838551,Washington Heights
7168350,Astoria
6935104,Gramercy Park
6864356,Weill Cornell Medical College
6878413,Theater District
6882522,Chelsea
7145131,Chelsea
6833960,East Harlem
6913043,Cooper Union 
6938965,Murray Hill
7178215,Roosevelt Island
6914828,Upper East Side
6870674,Theater District
6918319,Bowery
6861620,Upper East Side
6925359,Hunter College 
6825293,East Village
6867527,Bushwick
6918080,Ridgewood
6916596,Stuyvesant Town - Peter Cooper Village
6900389,Central Park
6905919,John Jay College of Criminal Justice 
7108756,Cobble Hill
6862031,Chinatown
6891868,Bedford-Stuyvesant
6859853,John Jay College of Criminal Justice 
6885722,Hunter College 
6872228,Midtown East
6948388,Greenwich Village
6868772,SoHo
6916294,Upper East Side
6868213,Garment District
7221945,Juilliard School 
6909599,Columbia University
6893916,West Harlem
6826364,Theater District
6833164,East Village
6851741,Upper East Side
6908291,Midtown East
6818149,Central Harlem
6924583,John Jay College of Criminal Justice 
6934022,Washington Heights
6889371,Theater District
7176559,NoLita
6836231,Hunter College 
6915246,Long Island City
6903392,Central Park
6851870,West Harlem
7109739,Baruch College (CUNY)
7215672,Garment District
6910628,Upper East Side
6819784,Garment District
6815198,Kips Bay
6831273,Central Harlem
7120160,West Harlem
6939827,Flushing Meadows-Corona Park
6924444,Midtown East
6935678,Pace University 
6860943,Hell's Kitchen
6911209,Astoria
7188156,Juilliard School 
6920453,Greenwich Village
6878240,Upper East Side
6835461,Randalls-Wards Island
6866527,Inwood
6843500,Hell's Kitchen
6940041,Astoria
6927464,Hell's Kitchen
6874479,Greenwich Village
6865150,Upper East Side
6878700,Kips Bay
6947256,Financial District
6925920,Upper East Side
7223091,SoHo
6840329,Upper East Side
6929701,Hell's Kitchen
6826030,Chelsea
6823395,Stuyvesant Town - Peter Cooper Village
7114001,Greenwich Village
6898796,Hunter College 
6860985,Hell's Kitchen
6896162,Upper East Side
6907175,West Village
6945948,Upper West Side
6894421,Long Island City
6932224,Financial District
7099220,Theater District
6921700,Upper East Side
6881161,Juilliard School 
6932640,Greenwich Village
6939138,Morris Heights
6930349,Hell's Kitchen
6833956,Park Slope
6946128,Hell's Kitchen
6913694,Financial District
6856554,Central Harlem
6861037,Upper West Side
7121138,Washington Heights
6897675,Upper East Side
6884357,Financial District
6911994,Murray Hill
6910872,Baruch College (CUNY)
6922798,West Harlem
6932475,Tribeca
6928765,Central Harlem
6920428,Columbia University
6834170,Elmhurst
6944754,Kingsbridge
6876778,Theater District
6817206,Upper East Side
6822972,Baruch College (CUNY)
6825966,Hell's Kitchen
6907393,Garment District
6855533,Pace University 
6853938,Chelsea
6877136,Financial District
6870336,NoMad
6884727,Financial District
6867872,Baruch College (CUNY)
6843790,Kips Bay
6856260,Baruch College (CUNY)
6899131,Upper East Side
6815657,East Harlem
7309872,NoMad
6928080,Ocean Hill
6883457,Koreatown
7111593,Upper East Side
6866517,Midtown East
6852025,Washington Heights
6935167,Bowery
6892531,Hell's Kitchen
6832898,Upper East Side
6848226,Park Slope
6901482,Financial District
6864419,Financial District
6845041,East Harlem
6927112,Little Italy
6939515,West Village
6911735,Koreatown
7119893,Upper West Side
7239578,Columbia University
6907917,Upper East Side
6921108,East Village
6924192,Financial District
6931824,Gramercy Park
7210427,John Jay College of Criminal Justice 
6886513,NoLita
6909928,Glendale
6896100,Greenwich Village
6939867,Chelsea
6922201,West Village
6817997,Garment District
6900900,Downtown Brooklyn
7116367,Greenwich Village
6947582,Upper West Side
6941419,Washington Heights
6878036,Tribeca
6819076,Weill Cornell Medical College
6885124,Hunter College 
6927886,Upper East Side
6871267,Upper East Side
6836663,John Jay College of Criminal Justice 
6873776,NoMad
7172297,Greenpoint
6815694,Chelsea
6899581,Garment District
6844429,Hell's Kitchen
6837859,Hunter College 
6834674,Financial District
7186128,Upper East Side
6844982,Kips Bay
6868602,Financial District
6842106,Midtown East
6886202,Upper East Side
6856287,Upper East Side
6874683,Upper West Side
6872100,Theater District
6854990,Central Park
6845677,Sheepshead Bay
6874395,West Village
6917173,Inwood
6852485,Murray Hill
6872706,East Harlem
6938886,Columbia University
7180107,Hell's Kitchen
7233886,Pratt Institute 
6933034,Astoria
6875578,Central Park
6923128,Columbia University
6847214,Murray Hill
6912787,Bedford-Stuyvesant
6832923,Lower East Side
6850909,Greenwich Village
6937118,The New School 
7510966,Pace University 
6938105,NoHo
6917866,Theater District
6903585,Hell's Kitchen
6908214,John Jay College of Criminal Justice 
6821491,Garment District
6813836,NoHo
6849930,Bowery
6935233,Prospect Heights
6868838,Highbridge
6899097,Upper East Side
6901114,Flatiron District
7215001,Fashion Institute of Technology (FIT) 
6924648,Columbia University
6932728,Stuyvesant Town - Peter Cooper Village
6831617,Bowery
6882949,Tribeca
6934516,Flushing
7146743,Southern Brooklyn
6908242,Kips Bay
6844206,Theater District
6861643,SoHo
6894710,Midtown East
6929989,Long Island City
6861213,Koreatown
6854616,Central Harlem
7191569,New York University (NYU) 
6841697,Garment District
6857698,Flatiron District
6938079,Bushwick
6918882,Murray Hill
6904881,Central Harlem
6816812,Long Island City
6912925,Bushwick
6888032,Hunter College 
6882278,Flatbush
6856440,Williamsburg
6828260,SoHo
6871759,Midtown East
6936825,Little Italy
6934311,Midtown East
6895662,Chelsea
7197581,Kips Bay
7120085,Hell's Kitchen
6928971,Murray Hill
6895369,Park Slope
6845062,Upper East Side
6944079,SoHo
6849059,Bowery
6869360,Boerum Hill
6899424,Upper East Side
6934582,Greenwich Village
7105736,Bushwick
6841021,SoHo
6840597,Financial District
6874769,Pace University 
6820252,Garment District
7226484,Tribeca
6852094,Upper East Side
6877867,Rego Park
6909299,Kips Bay
6835317,Flatiron District
6834875,Upper East Side
6845462,Upper East Side
6819205,Washington Heights
6832855,Pace University 
6852235,Pace University 
6859573,West Side
6886049,Battery Park City
6895781,Murray Hill
6897548,East Harlem
7186904,Bensonhurst
6829018,West Harlem
6833795,Hell's Kitchen
7187573,Greenwich Village
6878375,Pace University 
6905138,Columbia University
6833295,Greenwich Village
6899175,Theater District
6945934,Financial District
6902861,Upper East Side
6820146,Southern Brooklyn
7102487,Midtown East
6861212,Williamsburg
6892229,Koreatown
